disease,common_symptom,Description
Transient Ischemic Attack (TIA),"Monoplegia, hemiplegia, sensory disturbances, visual impairments, vertigo, motor aphasia, dysphagia, hoarseness, decreased hearing, limb weakness, memory loss, consciousness disorders","A transient ischemic attack (TIA), commonly known as a mini-stroke, is a temporary (transient) stroke with noticeable symptoms that end within 24 hours. A TIA causes the same symptoms associated with a stroke, such as weakness or numbness on one side of the body, sudden dimming or loss of vision, difficulty speaking or understanding language or slurred speech.
All forms of stroke, including a TIA, result from a disruption in blood flow to the central nervous system.  A TIA is caused by a temporary disruption in blood flow to the brain, or cerebral blood flow (CBF).  The primary difference between a major stroke and the TIA's minor stroke is how much tissue death (infarction) can be detected afterwards through medical imaging."
Chronic Angle-Closure Glaucoma,"Elevated intraocular pressure, visual field defects, eye pain, conjunctival congestion, rainbow vision disturbances, eye fatigue, pupil deformation, and eyeball protrusion","Glaucoma is a group of eye diseases that can lead to damage of the optic nerve. The optic nerve transmits visual information from the eye to the brain. Glaucoma may cause vision loss if left untreated. It has been called the ""silent thief of sight"" because the loss of vision usually occurs slowly over a long period of time. A major risk factor for glaucoma is increased pressure within the eye, known as intraocular pressure (IOP)."
Elbow Ankylosis and Fibrous Stiffness,"Stiffness, ankylosis, limited flexion and extension, severe elbow joint dysfunction","Fibrous ankylosis (also known as false ankylosis) is a condition that affects fibrous connective tissue causing a limited range of movement. 
Most causes occurs due to physical trauma.  Other cases can be attributed to the contraction of diseases such as tubercular arthritis, (arthritis developed after contracting tuberculosis), or septic arthritis.  Surgery, arthritis, rheumatoid arthritis, immobilization are also cases of this condition.  Fibrous ankylosis was thought to be a precursor progress into bony ankylosis,  in which osseous bone tissue fuses the affected joint, causing a greater reduction of mobility."
Dermoid Cyst and Epidermoid Cyst,"Subcutaneous cysts, back pain, cystic changes","A dermoid cyst is a teratoma of a cystic nature that contains an array of developmentally mature, solid tissues. It frequently consists of skin, hair follicles, and sweat glands, while other commonly found components include clumps of long hair, pockets of sebum, blood, fat, bone, nail, teeth, eyes, cartilage, and thyroid tissue.
As dermoid cysts grow slowly and contain mature tissue, this type of cystic teratoma is nearly always benign. In those rare cases wherein the dermoid cyst is malignant, a squamous cell carcinoma usually develops in adults, while infants and children usually present with an endodermal sinus tumor.:781


== Location ==
Due to its classification, a dermoid cyst can occur wherever a teratoma can occur.


=== Vaginal and ovarian dermoid cysts ===
Ovaries normally grow cyst-like structures called follicles each month."
Kaposi's Sarcoma,"Idiopathic, multifocal, pigmented sarcoma of the skin","Kaposi's sarcoma (KS) is a type of cancer that can form masses on the skin, in lymph nodes, in the mouth, or in other organs. The skin lesions are usually painless, purple and may be flat or raised. Lesions can occur singly, multiply in a limited area, or may be widespread. Depending on the sub-type of disease and level of immune suppression, KS may worsen either gradually or quickly. Except for classic KS where there is generally no immune suppression, KS is caused by a combination of immune suppression (such as due to HIV/AIDS) and infection by Human herpesvirus 8 (HHV8  also called KS-associated herpesvirus (KSHV))."
Mollaret's Meningitis in Children,"Recurrent headaches, nausea and vomiting, diplopia, hallucinations, myalgia, back pain, coma, seizures, neck stiffness, signs of meningeal irritation, meningitis","Viral meningitis, also known as aseptic meningitis, is a type of meningitis due to a viral infection. It results in inflammation of the meninges (the membranes covering the brain and spinal cord). Symptoms commonly include headache, fever, sensitivity to light and neck stiffness. 
Viruses are the most common cause of aseptic meningitis. Most cases of viral meningitis are caused by enteroviruses (common stomach viruses)."
Tubo-ovarian abscess,"Lower abdominal pain, low fever, lumbosacral soreness, sensation of heaviness, recurrent dyspareunia that worsens with fatigue and after menstruation, increased purulent vaginal discharge","A tubo-ovarian abscess (TOA) is one of the late complications of pelvic inflammatory disease (PID) and can be life-threatening if the abscess ruptures and results in sepsis. It consists of an encapsulated or confined pocket of pus with defined boundaries that forms during an infection of a fallopian tube and ovary. These abscesses are found most commonly in reproductive age women and typically result from upper genital tract infection. It is an inflammatory mass involving the fallopian tube, ovary and, occasionally, other adjacent pelvic organs. A TOA can also develop as a complication of a hysterectomy.:103
Symptoms typically include fever, an elevated white blood cell count, lower abdominal-pelvic pain, and/or vaginal discharge."
Junctional Escape Beat and Rhythm,"Tachycardia, Sinus Arrest, Shortness of Breath, Palpitations, Arrhythmia, Atrioventricular Block, Syncope","Junctional rhythm also called nodal rhythm describes an abnormal heart rhythm resulting from impulses coming from a locus of tissue in the area of the atrioventricular node (AV node), the ""junction"" between atria and ventricles.
Under normal conditions, the heart's sinoatrial node (SA node) determines the rate by which the organ beats  in other words, it is the heart's ""pacemaker"". The electrical activity of sinus rhythm originates in the sinoatrial node and depolarizes the atria. Current then passes from the atria through the atrioventricular node and into the bundle of His, from which it travels along Purkinje fibers to reach and depolarize the ventricles. This sinus rhythm is important because it ensures that the heart's atria reliably contract before the ventricles, ensuring as optimal stroke volume and cardiac output."
Unstable Angina in the Elderly,"Precordial pain, a sense of oppression, palpitations, chest tightness, radiating pain to the shoulders, back, arms, and jaw, and profuse sweating","Acute coronary syndrome (ACS) is a syndrome due to decreased blood flow in the coronary arteries such that part of the heart muscle is unable to function properly or dies. The most common symptom is centrally located pressure-like chest pain, often radiating to the left shoulder or angle of the jaw, and associated with nausea and sweating. Many people with acute coronary syndromes present with symptoms other than chest pain, particularly women, older people, and people with diabetes mellitus.
Acute coronary syndrome is subdivided in three scenarios depending primarily on the presence of electrocardiogram (ECG) changes and blood test results (a change in cardiac biomarkers such as troponin levels): ST elevation myocardial infarction (STEMI), non-ST elevation myocardial infarction (NSTEMI), or unstable angina. STEMI is characterized by complete blockage of a coronary artery resulting in necrosis of part of the heart muscle indicated by ST elevation on ECG, NSTEMI is characterized by a partially blocked coronary artery resulting in necrosis of part of the heart muscle that may be indicated by ECG changes, and unstable angina is characterised by ischemia of the heart muscle that does not result in cell injury or necrosis."
Superior Mesenteric Artery Thrombosis,"Symptoms include postprandial diffuse abdominal colic, emaciation, oliguria, abdominal pain, nausea and vomiting, diarrhea, increased stool volume, and weight loss.","Superior mesenteric artery (SMA) syndrome is a gastro-vascular disorder in which the third and final portion of the duodenum is compressed between the abdominal aorta (AA) and the overlying superior mesenteric artery.  This rare, potentially life-threatening syndrome is typically caused by an angle of 625 between the AA and the SMA, in comparison to the normal range of 3856, due to a lack of retroperitoneal and visceral fat (mesenteric fat). In addition, the aortomesenteric distance is 28 millimeters, as opposed to the typical 1020. However, a narrow SMA angle alone is not enough to make a diagnosis, because patients with a low BMI, most notably children, have been known to have a narrow SMA angle with no symptoms of SMA syndrome.
SMA syndrome is also known as Wilkie's syndrome, cast syndrome, mesenteric root syndrome, chronic duodenal ileus and intermittent arterio-mesenteric occlusion."
Allergic Colitis,"Abdominal pain, bloating, diarrhea, constipation, mucous stools, headache, fatigue, insomnia, palpitations, sweating","Clostridioides difficile infection (CDI or C-diff), also known as Clostridium difficile infection, is a symptomatic infection due to the spore-forming bacterium Clostridioides difficile. Symptoms include watery diarrhea, fever, nausea, and abdominal pain. It makes up about 20% of cases of antibiotic-associated diarrhea.  Antibiotics can contribute to detrimental changes in gut microbiota; specifically, they decrease short-chain fatty acid absorption which results in osmotic, or watery, diarrhea. Complications may include pseudomembranous colitis, toxic megacolon, perforation of the colon, and sepsis."
Neonatal Group B Streptococcus Infection,"Asphyxia, shock, neonatal cyanosis, abnormal respiration, coma, convulsions, recurrent high fever, cellulitis, secondary infections","Group B streptococcal infection, also known as Group B streptococcal disease or just Group B strep infection, is the infectious disease caused by the bacterium Streptococcus agalactiae. Streptococcus agalactiae is the most common human pathogen belonging to group B of the Lancefield classification of streptococcihence the name of group B stretococcal (GBS). Infection with GBS can cause serious illness and sometimes death, especially in newborns, the elderly, and people with compromised immune systems.
The most severe form of group B streptococcal disease is neonatal meningitis in infants, which is frequently lethal and can cause permanent neuro-cognitive impairment.

S. agalactiae was recognized as a pathogen in cattle by Edmond Nocard and Mollereau in the late 1880s."
Elderly Fatty Liver Disease,"Subclinical pain in the liver area, poor appetite, nausea, vomiting, abdominal distension, diarrhea, impotence, nosebleeds, spider angiomas, and gynecomastia in males","Atherosclerosis is a pattern of the disease arteriosclerosis, characterized by development of abnormalities called lesions in walls of arteries. This is a chronic inflammatory disease involving many different cell types and is driven by elevated levels of cholesterol in the blood. These lesions may lead to narrowing of the arterial walls due to buildup of atheromatous plaques. At the onset there are usually no symptoms, but if they develop, symptoms generally begin around middle age. In severe cases, it can result in coronary artery disease, stroke, peripheral artery disease, or kidney disorders, depending on which body part(s) the affected arteries are located in the body."
Spinal Vascular Disease,"Pain of varying degrees related to the lesion site, paraplegia, paralysis of the lower limbs, loss of sensation, urinary and fecal incontinence","Spinal cord stroke is a rare type of stroke with compromised blood flow to any region of spinal cord owing to occlusion or bleeding, leading to irreversible neuronal death. It can be classified into two types, ischaemia and haemorrhage, in which the former accounts for 86% of all cases, a pattern similar to cerebral stroke. The disease is either arisen spontaneously from aortic illnesses or postoperatively. It deprives patients of motor function or sensory function, and sometimes both. Infarction usually occurs in regions perfused by anterior spinal artery, which spans the anterior two-thirds of spinal cord."
Intestinal Polyps,"Hematochezia, mucous stools, constipation, abdominal pain, diarrhea, intussusception, colic, gastrointestinal bleeding","A polyp is an abnormal growth of tissue projecting from a mucous membrane. If it is attached to the surface by a narrow elongated stalk, it is said to be pedunculated; if it is attached without a stalk, it is said to be sessile. 
Polyps are commonly found in the colon, stomach, nose, ear, sinus(es), urinary bladder, and uterus. They may also occur elsewhere in the body where there are mucous membranes, including the cervix, vocal folds, and small intestine. Some polyps are tumors (neoplasms) and others are non-neoplastic, for example hyperplastic or dysplastic, which are benign."
Pediatric Neuro-Behet's Syndrome,,"Anti-Hu associated encephalitis, also known as Anti-ANNA1 associated encephalitis, is an uncommon form of brain inflammation that is associated with an underlying cancer. It can cause psychiatric symptoms such as depression, anxiety, and hallucinations. It can also produce neurological symptoms such as confusion, memory loss, weakness, sensory loss, pain, seizures, and problems coordinating the movement of the body.
While its cause is unknown, the most common hypothesis is that it is caused by an immune system attack on the nervous system. This immune system attack is linked to cancer in most cases, usually small cell lung carcinoma."
Watershed Cerebral Infarction,"Consciousness disturbance, motor aphasia, hemianopia, sensory disturbance, basal ganglia hemorrhage, nausea and vomiting, brain dysfunction, coma, loss of light reflex, paralysis, central fever, delirium","A watershed stroke is defined as a brain ischemia that is localized to the vulnerable border zones between the tissues supplied by the anterior, posterior and middle cerebral arteries.  The actual blood stream blockage/restriction site can be located far away from the infarcts. Watershed locations are those border-zone regions in the brain supplied by the major cerebral arteries where blood supply is decreased. Watershed strokes are a concern because they comprise approximately 10% of all ischemic stroke cases. The watershed zones themselves are particularly susceptible to infarction from global ischemia as the distal nature of the vasculature predisposes these areas to be most sensitive to profound hypoperfusion."
Shock and Collapse,"Shortness of breath, cold extremities, profuse sweating, unconsciousness, unresponsiveness","Shock is the state of insufficient blood flow to the tissues of the body as a result of problems with the circulatory system. Initial symptoms of shock may include weakness, tachycardia, hyperventilation, sweating, anxiety, and increased thirst. This may be followed by confusion, unconsciousness, or cardiac arrest, as complications worsen.
Shock is divided into four main types based on the underlying cause: hypovolemic, cardiogenic, obstructive, and distributive shock. Hypovolemic shock, also known as low volume shock, may be from bleeding, diarrhea, or vomiting."
Aggressive Infantile Fibromatosis,"Constipation, rectal bleeding, intestinal dysfunction, congestion, nausea, delayed response, peritoneal irritation signs, abdominal pain","Aggressive fibromatosis or desmoid tumor is a rare condition. Desmoid tumors are a type of fibromatosis and related to sarcoma, though without the ability to spread throughout the body (metastasize). The tumors arise from cells called fibroblasts, which are found throughout the body and provide structural support, protection to the vital organs, and play a critical role in wound healing. These tumors tend to occur in women in their thirties, but can occur in anyone at any age. They can be either relatively slow-growing or malignant."
Cervical Penetrating Injury,"Cyanosis, sensory disorder, high paraplegia, dyspnea, severe pain, open injury, cough, twisted pronunciation","A cervical fracture, commonly called a broken neck, is a fracture of any of the seven cervical vertebrae in the neck. Examples of common causes in humans are traffic collisions and diving into shallow water. Abnormal movement of neck bones or pieces of bone can cause a spinal cord injury, resulting in loss of sensation, paralysis, or usually death soon thereafter (~1 min.), primarily via compromising neurological supply to the respiratory muscles and innervation to the heart.


== Causes ==

Considerable force is needed to cause a cervical fracture. Vehicle collisions and falls are common causes."
Aortic Dissection,"Severe pain, frontal headache, neck pain, scapular referral pain, rapid heart rate, angina pectoris, myocardial infarction, dissection hematoma, dizziness, confusion, paraplegia, abdominal pain","Aortic dissection (AD) occurs when an injury to the innermost layer of the aorta allows blood to flow between the layers of the aortic wall, forcing the layers apart. In most cases, this is associated with a sudden onset of agonizing chest or back pain, often described as ""tearing"" in character. Vomiting, sweating, and lightheadedness may also occur. Damage to other organs may result from the decreased blood supply, such as stroke, lower extremity ischemia, or mesenteric ischemia. Aortic dissection can quickly lead to death from insufficient blood flow to the heart or complete rupture of the aorta."
Vaginal Sarcoma Botryoides,"Vaginal bleeding, increased vaginal discharge, bloody vaginal discharge, vaginal expulsion of tissue fragments, lower abdominal tenderness","Sarcoma botryoides or botryoid sarcoma is a subtype of embryonal rhabdomyosarcoma, that can be observed in the walls of hollow, mucosa lined structures such as the nasopharynx, common bile duct, urinary bladder of infants and young children or the vagina in females, typically younger than age 8. The name comes from Ancient Greek  botryoid 'grape bunch' due to their gross appearance.


== Presentation ==
For botryoid rhabdomyosarcoma of the vagina, the most common clinical finding is vaginal bleeding but vaginal bleeding is not specific for sarcoma botryoides:  other vaginal cancers are possible. They may appear as a polypoid mass, somewhat yellow in color and are friable: thus, they (possibly) may break off, leading to vaginal bleeding or infections.


== Histology ==
Under the microscope one can see rhabdomyoblasts that may contain cross-striations."
Transitional Cell Carcinoma of the Bladder,Painless gross hematuria,"Transitional cell carcinoma is a type of cancer that arises from the transitional epithelium, a tissue lining the inner surface of these hollow organs. It typically occurs in the urothelium of the urinary system; in that case, it is also called urothelial carcinoma. It is the most common type of bladder cancer and cancer of the ureter, urethra, and urachus. Symptoms of urothelial carcinoma in the bladder include hematuria (blood in the urine). Diagnosis includes urine analysis and imaging of the urinary tract (cystoscopy)."
Syringocystadenoma Papilliferum,"Increased sweating upon cold exposure, noticeable body odor, lactation disorder, subcutaneous nodules","Syringocystadenoma papilliferum is a rare non-malignant adnexal neoplasm that develops from apocrine or eccrine sweat glands and can be identified histologically by cystic, papillary, and ductal invaginations into the dermis lined by double-layered outer cuboidal and luminal high columnar epithelium and connected to the epidermis.
Lesions have a heterogeneous, non-distinctive appearance that ranges from skin-colored to pink-colored papules or plaques. Typically, lesions form in the head and neck area.
Syringocystadenoma papilliferum can develop de-novo or within a nevus sebaceous. Syringocystadenoma papilliferum tends to be seen in children."
Gallbladder Polyps,"Pain in the upper right abdomen radiating to the right shoulder back, nausea, vomiting, loss of appetite in young and middle-aged individuals.","Gallbladder polyps are growths or lesions resembling growths (polypoid lesions) in the wall of the gallbladder. True polyps are abnormal accumulations of mucous membrane tissue that would normally be shed by the body.


== Signs and symptoms ==
Most polyps do not cause noticeable symptoms. Gallbladder polyps are usually found incidentally when examining the abdomen by ultrasound for other conditions, usually abdominal pain.


== Pathology ==
Most small polyps (less than 1 cm) are not cancerous and may remain unchanged for years."
Temporomandibular Joint Disorders,"Pain in the temporomandibular joint, worsened while opening the mouth or chewing, with accompanying clicking, grinding sounds, difficulty opening the mouth, and limited mouth opening","Temporomandibular joint dysfunction (TMD, TMJD) is an umbrella term covering pain and dysfunction of the muscles of mastication (the muscles that move the jaw) and the temporomandibular joints (the joints which connect the mandible to the skull). The most important feature is pain, followed by restricted mandibular movement, and noises from the temporomandibular joints (TMJ) during jaw movement. Although TMD is not life-threatening, it can be detrimental to quality of life; this is because the symptoms can become chronic and difficult to manage.
In this article, the term temporomandibular disorder is taken to mean any disorder that affects the temporomandibular joint, and temporomandibular joint dysfunction (here also abbreviated to TMD) is taken to mean symptomatic (e.g. pain, limitation of movement, clicking) dysfunction of the temporomandibular joint."
Salivary Gland Cyst,"Submucosal swelling in the oral cavity, purulent discharge","Salivary gland tumours, or neoplasms, are tumours that form in the tissues of salivary glands. The salivary glands are classified as major or minor. The major salivary glands consist of the parotid, submandibular, and sublingual glands. The minor salivary glands consist of 800 to 1000 small mucus-secreting glands located throughout the lining of the oral cavity. People with these types of tumours may be asymptomatic."
Extramammary Paget's Disease,"Localized itching or minor burning sensation of the nipple, reddening of the skin around the nipple and areola, serous exudation, mild erosion, thickening and hardening of the skin in some patients","Paget's disease of the breast (also known as mammary Paget's disease) is a rare skin change at the nipple nearly always associated with underlying breast cancer. Paget's disease of the breast was first described by Sir James Paget in 1874. The condition is an uncommon disease accounting for 1 to 4% of all breast cancers cases. 92% to 100% of patients with Paget's disease of the breast have an underlying breast cancer.
The condition in itself often appears innocuous, limited to a surface appearance and it is sometimes dismissed, although it is actually indicative of underlying breast cancer."
Avascular Necrosis,"Discomfort in the hip, hip pain, increased pain after fatigue or long periods of activity, alleviation of pain after rest, pain in the lumbar sacral region or knee joint","Avascular necrosis (AVN), also called osteonecrosis or bone infarction, is death of bone tissue due to interruption of the blood supply. Early on, there may be no symptoms. Gradually joint pain may develop, which may limit the person's ability to move. Complications may include collapse of the bone or nearby joint surface.
Risk factors include bone fractures, joint dislocations, alcoholism, and the use of high-dose steroids."
Hepatorenal Syndrome,"Hematuria, jaundice, spider angiomas, palmar erythema, splenomegaly, ascites, edema of legs and feet, eyelid edema","Hepatorenal syndrome (HRS) is a life-threatening medical condition that consists of rapid deterioration in kidney function in individuals with cirrhosis or fulminant liver failure. HRS is usually fatal unless a liver transplant is performed, although various treatments, such as dialysis, can prevent advancement of the condition.
HRS can affect individuals with cirrhosis, severe alcoholic hepatitis, or liver failure, and usually occurs when liver function deteriorates rapidly because of a sudden insult such as an infection, bleeding in the gastrointestinal tract, or overuse of diuretic medications.  HRS is a relatively common complication of cirrhosis, occurring in 18% of people within one year of their diagnosis, and in 39% within five years of their diagnosis. Deteriorating liver function is believed to cause changes in the circulation that supplies the intestines, altering blood flow and blood vessel tone in the kidneys."
Heart Failure,"Orthopnea, tachycardia, restlessness, pink frothy sputum, syncope, chest pain with tightness, palpitations, pitting edema in both lower limbs","Heart failure (HF), also known as congestive heart failure (CHF), is a syndrome caused by an impairment in the heart's ability to fill with and pump blood.
Although symptoms vary based on which side of the heart is affected, HF typically presents with shortness of breath, excessive fatigue, and bilateral leg swelling. The severity of the heart failure is mainly decided based on ejection fraction and also measured by the severity of symptoms. Other conditions that have symptoms similar to heart failure include obesity, kidney failure, liver disease, anemia, and thyroid disease.
Common causes of heart failure include coronary artery disease, heart attack, high blood pressure, atrial fibrillation, valvular heart disease, excessive alcohol consumption, infection, and cardiomyopathy."
Congenital Rubella Syndrome,"Thrombocytopenic purpura, hepatosplenomegaly, maculopapular rash, congenital heart defects, heart failure, intrauterine growth retardation, cataracts, skin petechiae, deafness, miscarriage, stillbirth, fever","Congenital rubella syndrome (CRS) occurs when a human fetus is infected with the rubella virus (German measles) via maternal-fetal transmission and develops birth defects. The most common congenital defects affect the ophthalmologic, cardiac, auditory, and neurologic systems.
Rubella infection in pregnancy can result in various outcomes ranging from asymptomatic infection to congenital defects to miscarriage and fetal death. If infection occurs 011 weeks after conception, the infant has a 90% risk of being affected. If the infection occurs 1220 weeks after conception, the risk is 20%."
Basal Cell Carcinoma,"Headache, ulceration, nodules, erythematous rash, eczema, pain","Basal-cell carcinoma (BCC), also known as basal-cell cancer, basalioma or rodent ulcer, is the most common type of skin cancer. It often appears as a painless raised area of skin, which may be shiny with small blood vessels running over it. It may also present as a raised area with ulceration. Basal-cell cancer grows slowly and can damage the tissue around it, but it is unlikely to spread to distant areas or result in death.
Risk factors include exposure to ultraviolet light, having lighter skin, radiation therapy, long-term exposure to arsenic and poor immune-system function."
Clustered Hemangioma,Papules,"Cherry angioma, also called cherry hemangioma or Campbell de Morgan Spot, is a small bright red dome-shaped bump on the skin. It ranges between 0.5 and 6 mm in diameter and usually several are present, typically on the chest and arms, and increasing in number with age. If scratched, they may bleed.
They are a harmless benign tumour, containing an abnormal proliferation of blood vessels, and have no relationship to cancer. They are the most common kind of angioma, and increase with age, occurring in nearly all adults over 30 years."
B Virus Infection,"Nasal congestion, fever, muscle soreness, sore throat","B-virus a virus of the genus Simplexvirus that infects macaque monkeys. B virus is very similar to Herpes simplex virus 1, and as such, this neurotropic virus is not found in the blood.
In the natural host, the virus exhibits pathogenesis similar to that of cold sores in humans. There have been a number of accidental infections and fatalities of researchers working with rhesus monkeys (Rhesus macaque). When humans are zoonotically infected with B virus, they can present with a severe encephalitis, resulting in permanent neurological dysfunction or death."
Pediatric Drug Hypersensitivity,"Maculopapular rash, exfoliative dermatitis, nodules, anemia, edema, shock, vasculitis, drug allergic reactions","Drug rash with eosinophilia and systemic symptoms or drug reaction with eosinophilia and systemic symptoms (DRESS), also termed drug-induced hypersensitivity syndrome (DIHS), is a rare reaction to certain medications. It involves primarily a widespread skin rash, fever, swollen lymph nodes, and characteristic blood abnormalities such as an abnormally high level of eosinophils, low number of platelets, and increased number of atypical white blood cells (lymphocytes). However, DRESS is often complicated by potentially life-threatening inflammation of internal organs and the syndrome has about a 10% mortality rate. Treatment consists of stopping the offending medication and providing supportive care. Systemic corticosteroids are commonly used as well but no controlled clinical trials have assessed the efficacy of this treatment."
Pediatric Ataxia-Telangiectasia Syndrome,"Ataxia, Intellectual Developmental Delay","Ataxiatelangiectasia (AT or AT), also referred to as ataxiatelangiectasia syndrome or LouisBar syndrome, is a rare, neurodegenerative disease causing severe disability. Ataxia refers to poor coordination and telangiectasia to small dilated blood vessels, both of which are hallmarks of the disease. AT affects many parts of the body:

It impairs certain areas of the brain including the cerebellum, causing difficulty with movement and coordination.
It weakens the immune system, causing a predisposition to infection.
It prevents the repair of broken DNA, increasing the risk of cancer."
Epithelioid Sarcoma,"Subcutaneous nodules, ulcers, gradual infiltration toward deeper layers, infiltration along fascia, tendons, and nerves","Epithelioid sarcoma is a rare soft tissue sarcoma arising from mesenchymal tissue and characterized by epithelioid-like features. It accounts for less than 1% of all soft tissue sarcomas. It was first definitively characterized by F.M. Enzinger in 1970. It commonly presents itself in the distal limbs (fingers, hands, forearms, or feet) of young adults as a small, soft mass or a cluster of bumps. A proximal version has also been described, frequently occurring in the upper extremities."
Intraspinal Metastatic Tumors,"Radicular pain, radiation from the back, coughing, sneezing, aggravated by exertion, significant at night, paraplegia in cases involving the spinal cord","A brain tumor (sometimes referred more commonly as brain cancer) occurs when a group of cells within the brain turn cancerous and grow out of control, creating a mass. There are two main types of tumors: malignant (cancerous) tumors and benign (non-cancerous) tumors. These can be further classified as primary tumors, which start within the brain, and secondary tumors, which most commonly have spread from tumors located outside the brain, known as brain metastasis tumors. All types of brain tumors may produce symptoms that vary depending on the size of the tumor and the part of the brain that is involved. Where symptoms exist, they may include headaches, seizures, problems with vision, vomiting and mental changes."
Pituitary Adenoma,"Amenorrhea, galactorrhea, infertility, decreased libido, erectile dysfunction, breast development, sparse facial hair, headache","Pituitary adenomas are tumors that occur in the pituitary gland. Most pituitary tumors are benign, approximately 35% are invasive and just 0.1% to 0.2% are carcinomas. Pituitary adenomas represent from 10% to 25% of all intracranial neoplasms, with an estimated prevalence rate in the general population of approximately 17%.
Non-invasive and non-secreting pituitary adenomas are considered to be benign in the literal as well as the clinical sense, though a 2011 meta-analysis of available research showed that research to either support or refute this assumption was scant and of questionable quality.
Adenomas exceeding 10 mm (0.39 in) in size are defined as macroadenomas, while those smaller than 10 mm (0.39 in) are referred to as microadenomas."
Temporomandibular Joint Disorder,"Pain in the temporomandibular joint, pain in the masticatory muscles, audible friction sounds, and clicking","Temporomandibular joint dysfunction (TMD, TMJD) is an umbrella term covering pain and dysfunction of the muscles of mastication (the muscles that move the jaw) and the temporomandibular joints (the joints which connect the mandible to the skull). The most important feature is pain, followed by restricted mandibular movement, and noises from the temporomandibular joints (TMJ) during jaw movement. Although TMD is not life-threatening, it can be detrimental to quality of life; this is because the symptoms can become chronic and difficult to manage.
In this article, the term temporomandibular disorder is taken to mean any disorder that affects the temporomandibular joint, and temporomandibular joint dysfunction (here also abbreviated to TMD) is taken to mean symptomatic (e.g. pain, limitation of movement, clicking) dysfunction of the temporomandibular joint."
Idiopathic Delayed Hypogammaglobulinemia,"Ulcers, Splenomegaly","Multiple myeloma (MM), also known as plasma cell myeloma and simply myeloma, is a cancer of plasma cells, a type of white blood cell that normally produces antibodies. Often, no symptoms are noticed initially. As it progresses, bone pain, anemia, renal insufficiency, and infections may occur. Complications may include hypercalcemia and amyloidosis.
The cause of multiple myeloma is unknown."
Bone Metastatic Cancer,Pain in lower back and legs,"Metastatic breast cancer, also referred to as metastases, advanced breast cancer, secondary tumors, secondaries or stage IV breast cancer, is a stage of breast cancer where the breast cancer cells have spread to distant sites beyond the axillary lymph nodes. There is no cure for metastatic breast cancer;  there is no stage after IV.
Metastases can occur several years after the primary breast cancer, although it is sometimes diagnosed at the same time as the primary breast cancer or, rarely, before the primary breast cancer has been diagnosed.
Metastatic breast cancer cells frequently differ from the preceding primary breast cancer in properties such as receptor status. The cells have often developed resistance to several lines of previous treatment and have acquired special properties that permit them to metastasize to distant sites. Metastatic breast cancer can be treated, sometimes for many years, but it cannot be cured."
Cardiac Papillary Fibroelastoma,"heart failure, unexplained fever, angina, hemiparesis, transient cerebral ischemia, myocardial infarction","A papillary fibroelastoma is a primary tumor of the heart that typically involves one of the heart valves. Papillary fibroelastomas, while considered uncommon, make up about 10 percent of all primary tumors of the heart. They are the third most common type of primary tumor of the heart, behind cardiac myxomas and cardiac lipomas.


== Signs and symptoms ==
A papillary fibroelastoma is generally considered pathologically benign, however outflow obstruction or embolism can be associated with syncope, chest pain, heart attack, stroke and sudden cardiac death.
Symptoms due to papillary fibroelastomas are generally due to either mechanical effects of the tumor or due to embolization of a portion of the tumor to a distal organ."
Gastric Perforation,"Sudden onset of severe abdominal pain, cutting or burning sensation, intermittent exacerbation, nausea, vomiting, abdominal distension, constipation, pneumoperitoneum, abdominal wall tenderness, rebound tenderness, muscle tension","Gastrointestinal perforation, also known as gastrointestinal rupture, is a hole in the wall of the gastrointestinal tract. The gastrointestinal tract is composed of hollow digestive organs leading from the mouth to the anus. Symptoms of gastrointestinal perforation commonly include severe abdominal pain, nausea, and vomiting. Complications include a painful inflammation of the inner lining of the abdominal wall and sepsis.
Perforation may be caused by trauma, bowel obstruction, diverticulitis, stomach ulcers, cancer, or infection."
Liver Tumor,"Pain in the liver area, decreased appetite, abdominal distention, nausea, vomiting, diarrhea, fatigue, weight loss, fever","Liver cancer, also known as hepatic cancer, primary hepatic cancer, or primary hepatic malignancy, is cancer that starts in the liver. Liver cancer can be primary in which the cancer starts in the liver, or it can be liver metastasis, or secondary, in which the cancer spreads from elsewhere in the body to the liver. Liver metastasis is the more common of the two liver cancers. Instances of liver cancer are increasing globally. 
Primary liver cancer is globally the sixth-most frequent cancer and the fourth-leading cause of death from cancer."
Hydrogen Sulfide Poisoning,"Tearing, rhinorrhea, coughing, ulcers, asphyxiation, eye pain, conjunctival congestion, dry rales, dizziness, fatigue, nausea, chest tightness","Hydrogen sulfide is a chemical compound with the formula H2S. It is a colorless chalcogen-hydride gas, and is toxic, corrosive, and flammable. Trace amounts in ambient atmosphere have a characteristic foul odor of rotten eggs.  Swedish chemist Carl Wilhelm Scheele is credited with having discovered the chemical composition of purified hydrogen sulfide in 1777.
Hydrogen sulfide is toxic to humans and most other animals by inhibiting cellular respiration in a manner similar to hydrogen cyanide. When it is inhaled or its salts are ingested in high amounts, damage to organs occurs rapidly with symptoms ranging from breathing difficulties to convulsions and death."
